Perioden;"Bevolking op 1 januari
Mannen en vrouwen";"Totale weglengte
Verharde wegen
kilometer";"Lengte spoorwegnet
Totaal Kilometer";"Vervoermiddelen
Wegvoertuigen personenvervoer
Wegvoertuigen stand op 1 januari
Motorvoertuigen
Personenauto";"Infrastructuur
Lengte bevaarbare rivieren en kanalen
Totaal"
1900;5104000;;2776;;
1901;5163000;;2824;;
1902;5233000;;2843;;
1903;5307000;;2916;;
1904;5384000;;2928;;
1905;5460000;;;1000;
1906;5537000;;3058;;
1907;5616000;;3080;;
1908;5696000;;3091;;
1909;5772000;;3091;;
1910;5858000;;3215;2000;
1911;5951000;;3216;;
1912;6033000;;3256;;
1913;6133000;;3306;;
1914;6235000;;3339;;
1915;6340000;;;;
1916;6433000;;3400;;
1917;6527000;;3400;;
1918;6618000;;3403;;
1919;6675000;;3407;;
1920;6754000;;3406;11000;
1921;6865000;;;;
1922;6978000;;;;
1923;7081000;;;;
1924;7196000;;;30000;
1925;7308000;;;;
1926;7416000;;3627;;
1927;7522000;;3675;;
1928;7621000;;3676;52000;
1929;7728000;;3677;60000;
1930;7825000;;3677;68000;
1931;7936000;;3639;75000;
1932;8062000;;3639;81000;
1933;8183000;;3621;85000;
1934;8290000;;3576;90000;
1935;8392000;;3484;88000;
1936;8475000;;3387;89000;
1937;8557000;;3342;91000;
1938;8640000;;3315;94000;
1939;8729000;;3314;100000;
1940;8834000;;3314;;
1941;8923000;;3351;;
1942;9008000;;3170;;
1943;9076000;;3159;;
1944;9129000;;;;
1945;9220000;;2824;;
1946;9304000;;3079;47000;
1947;9543000;;3251;68000;
1948;9716000;;3347;86000;
1949;9884000;;3208;113000;
1950;10027000;;3204;139000;
1951;10200000;;3210;157000;
1952;10328000;;3210;173000;
1953;10436000;;3186;188000;
1954;10551000;;3186;219000;
1955;10680000;;3178;268000;
1956;10822000;;3220;328000;
1957;10957000;;3223;376000;
1958;11096000;;3227;421000;
1959;11278000;;3229;457000;
1960;11417000;;3253;522000;
1961;11556000;;3250;616000;
1962;11721000;;3251;730000;
1963;11890000;;3245;866000;
1964;12042000;;3238;1059000;
1965;12212000;;3235;1273000;
1966;12377000;;3232;1502000;
1967;12535000;;3227;1696000;
1968;12661000;;3148;1952000;
1969;12798000;;3148;2212000;
1970;12958000;;3148;2405000;
1971;13119000;;3148;2637000;5598
1972;13270000;;2834;2833000;
1973;13388000;;2832;3005000;4831
1974;13491000;;2832;3134000;
1975;13599000;;2762;3289000;4787
1976;13734000;;2762;3444000;
1977;13814000;;2760;3636000;4803
1978;13898000;;2760;3812000;
1979;13986000;;2760;4052000;
1980;14091000;;2760;4240000;4847
1981;14209000;;2822;4314000;4847
1982;14286000;;2822;4350000;4847
1983;14340000;95146;2835;4385000;4834
1984;14395000;96150;2835;4471000;4843
1985;14454000;97189;2794;4551000;4845
1986;14529000;98423;2770;4616000;4832
1987;14615000;99656;2790;4676000;4832
1988;14715000;100892;2810;4806000;4829
1989;14805000;101875;2810;4967000;5043
1990;14893000;102860;2780;5118429;5052
1991;15010000;103845;2780;5204604;5052
1992;15129000;104831;2791;5246568;5046
1993;15239000;106961;2811;5340858;5046
1994;15342000;109091;2813;5455733;5046
1995;15424000;111221;2813;5580818;5046
1996;15494000;113419;2813;5664408;5046
1997;15567000;115617;2805;5810228;5046
1998;15654000;116093;2808;5931387;
1999;15760000;117430;2808;6119581;
2000;15864000;118578;2802;6343164;
2001;15987000;130446;2809;6539040;
2002;16105000;131531;2806;6710595;
2003;16193000;132397;2811;6854947;
2004;16258000;133383;2810;6908890;
2005;16306000;134218;2810;6991974;
2006;16334000;134948;2797;7092293;
2007;16358000;135470;2801;7230178;
2008;16405000;136135;2888;7391903;
2009;16486000;136827;2896;7542331;
2010;16575000;137347;3013;7622353;
2011;16656000;137692;3013;7735547;
2012;16730000;137804;3013;7858712;
2013;16780000;138199;3013;7915613;
2014;16829000;138641;3032;7932290;
2015;16901000;138912;3031;7979083;
2016;16979000;139124;3058;8100864;
